goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n2,n1,type_c,1,5318,5390,43867,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #2,fire_team_a,manoeuvre,false,n1,n5,type_c,3,15307,20755,43867,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #3,fire_team_a,manoeuvre,false,n1,n6,type_b,1,4048,24864,43867,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #4,fire_team_a,manoeuvre,false,n1,n6,type_b,1,4231,29167,43867,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #5,fire_team_a,manoeuvre,false,n1,n4,type_a,1,10784,40007,43867,1,3,2,Radio30s200,1,n_a
Goal number f34f40df,T #6,fire_team_a,manoeuvre,false,n1,n5,type_b,1,3762,43824,43867,1,3,2,Radio30s200,1,n_a
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n1,n2,type_a,1,10499,10571,95059,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n2,n1,type_c,3,15304,25934,95059,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n2,n1,type_a,1,11135,37110,95059,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n1,n3,type_a,2,20284,57451,95059,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #5,fire_team_a,manoeuvre,false,n3,n6,type_a,3,30371,87884,95059,4,1,1,Radio30s200,1,n_a
Goal number 77cb2c04,T #6,fire_team_a,manoeuvre,false,n3,n4,type_b,2,7059,95008,95059,4,1,1,Radio30s200,1,n_a
Goal number 546bafce,T #1,fire_team_a,manoeuvre,false,n3,n3,type_a,1,10393,10450,50608,1,4,1,Radio30s200,1,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n3,n2,type_c,2,10391,20883,50608,1,4,1,Radio30s200,1,n_a
Goal number 546bafce,T #3,fire_team_a,manoeuvre,false,n3,n1,type_b,2,6996,27940,50608,1,4,1,Radio30s200,1,n_a
Goal number 546bafce,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,1,3944,31935,50608,1,4,1,Radio30s200,1,n_a
Goal number 546bafce,T #5,fire_team_a,manoeuvre,false,n3,n6,type_b,2,7203,39199,50608,1,4,1,Radio30s200,1,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n3,n1,type_b,3,11300,50556,50608,1,4,1,Radio30s200,1,n_a
Goal number 18685dd8,T #1,fire_team_a,manoeuvre,false,n3,n6,type_a,1,10383,10453,106522,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #2,fire_team_a,manoeuvre,false,n1,n2,type_a,3,35744,46248,106522,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,2,10283,56680,106522,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #4,fire_team_a,manoeuvre,false,n1,n4,type_b,1,4679,61408,106522,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #5,fire_team_a,manoeuvre,false,n1,n6,type_b,3,14614,76077,106522,3,2,1,Radio30s200,1,n_a
Goal number 18685dd8,T #6,fire_team_a,manoeuvre,false,n1,n3,type_a,3,30306,106471,106522,3,2,1,Radio30s200,1,n_a
Goal number 49fbc2c6,T #1,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10376,10449,74060,2,2,2,Radio30s200,1,n_a
Goal number 49fbc2c6,T #2,fire_team_a,manoeuvre,false,n2,n6,type_a,2,20376,30887,74060,2,2,2,Radio30s200,1,n_a
Goal number 49fbc2c6,T #3,fire_team_a,manoeuvre,false,n1,n5,type_b,1,4141,35095,74060,2,2,2,Radio30s200,1,n_a
Goal number 49fbc2c6,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10416,45575,74060,2,2,2,Radio30s200,1,n_a
Goal number 49fbc2c6,T #5,fire_team_a,manoeuvre,false,n2,n2,type_a,2,21272,66898,74060,2,2,2,Radio30s200,1,n_a
Goal number 49fbc2c6,T #6,fire_team_a,manoeuvre,false,n2,n5,type_b,2,7057,74007,74060,2,2,2,Radio30s200,1,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n3,n1,type_a,1,20317,20390,96937,2,0,4,Radio30s200,1,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n2,n1,type_a,3,30582,51029,96937,2,0,4,Radio30s200,1,n_a
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n2,n3,type_c,2,14618,65714,96937,2,0,4,Radio30s200,1,n_a
Goal number 7f99db97,T #4,fire_team_a,manoeuvre,false,n3,n2,type_c,2,10362,76130,96937,2,0,4,Radio30s200,1,n_a
Goal number 7f99db97,T #5,fire_team_a,manoeuvre,false,n2,n4,type_c,2,10327,86529,96937,2,0,4,Radio30s200,1,n_a
Goal number 7f99db97,T #6,fire_team_a,manoeuvre,false,n3,n1,type_c,2,10293,96881,96937,2,0,4,Radio30s200,1,n_a
Goal number b5bdaedc,T #1,fire_team_a,manoeuvre,false,n1,n2,type_c,1,5671,5747,54890,2,3,1,Radio30s200,1,n_a
Goal number b5bdaedc,T #2,fire_team_a,manoeuvre,false,n3,n4,type_a,1,10396,16208,54890,2,3,1,Radio30s200,1,n_a
Goal number b5bdaedc,T #3,fire_team_a,manoeuvre,false,n1,n5,type_b,2,6931,23173,54890,2,3,1,Radio30s200,1,n_a
Goal number b5bdaedc,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,2,7075,30312,54890,2,3,1,Radio30s200,1,n_a
Goal number b5bdaedc,T #5,fire_team_a,manoeuvre,false,n1,n2,type_a,1,10338,40706,54890,2,3,1,Radio30s200,1,n_a
Goal number b5bdaedc,T #6,fire_team_a,manoeuvre,false,n1,n2,type_b,2,14069,54836,54890,2,3,1,Radio30s200,1,n_a
Goal number 7f8f32ac,T #1,fire_team_a,manoeuvre,false,n1,n3,type_a,2,27634,27767,80104,3,0,3,Radio30s200,1,n_a
Goal number 7f8f32ac,T #2,fire_team_a,manoeuvre,false,n1,n5,type_a,1,10433,38241,80104,3,0,3,Radio30s200,1,n_a
Goal number 7f8f32ac,T #3,fire_team_a,manoeuvre,false,n2,n3,type_c,2,10315,48610,80104,3,0,3,Radio30s200,1,n_a
Goal number 7f8f32ac,T #4,fire_team_a,manoeuvre,false,n2,n5,type_c,1,5511,54173,80104,3,0,3,Radio30s200,1,n_a
Goal number 7f8f32ac,T #5,fire_team_a,manoeuvre,false,n3,n1,type_a,2,20412,74648,80104,3,0,3,Radio30s200,1,n_a
Goal number 7f8f32ac,T #6,fire_team_a,manoeuvre,false,n2,n3,type_c,1,5364,80059,80104,3,0,3,Radio30s200,1,n_a
Goal number e8ce562c,T #1,fire_team_a,manoeuvre,false,n3,n6,type_b,2,6985,7060,70599,1,3,2,Radio30s200,1,n_a
Goal number e8ce562c,T #2,fire_team_a,manoeuvre,false,n3,n4,type_b,3,10436,17549,70599,1,3,2,Radio30s200,1,n_a
Goal number e8ce562c,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,2,10309,27909,70599,1,3,2,Radio30s200,1,n_a
Goal number e8ce562c,T #4,fire_team_a,manoeuvre,false,n1,n4,type_a,3,30319,58286,70599,1,3,2,Radio30s200,1,n_a
Goal number e8ce562c,T #5,fire_team_a,manoeuvre,true,n1,n3,type_c,1,5244,63588,70599,1,3,2,Radio30s200,1,n_a
Goal number e8ce562c,T #6,fire_team_a,manoeuvre,true,n1,n5,type_b,2,6902,70553,70599,1,3,2,Radio30s200,1,n_a
Goal number a0a03a8d,T #1,fire_team_a,manoeuvre,false,n2,n4,type_a,1,10410,10487,68045,2,2,2,Radio30s200,1,n_a
Goal number a0a03a8d,T #2,fire_team_a,manoeuvre,false,n1,n3,type_b,2,7155,17697,68045,2,2,2,Radio30s200,1,n_a
Goal number a0a03a8d,T #3,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15973,33720,68045,2,2,2,Radio30s200,1,n_a
Goal number a0a03a8d,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,3,11060,44823,68045,2,2,2,Radio30s200,1,n_a
Goal number a0a03a8d,T #5,fire_team_a,manoeuvre,true,n3,n6,type_a,1,10325,55202,68045,2,2,2,Radio30s200,1,n_a
Goal number a0a03a8d,T #6,fire_team_a,manoeuvre,true,n3,n1,type_c,2,12728,68000,68045,2,2,2,Radio30s200,1,n_a
Goal number a4e2e8cd,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10312,10386,73595,2,1,3,Radio30s200,1,n_a
Goal number a4e2e8cd,T #2,fire_team_a,manoeuvre,false,n1,n6,type_b,1,6041,16479,73595,2,1,3,Radio30s200,1,n_a
Goal number a4e2e8cd,T #3,fire_team_a,manoeuvre,false,n3,n2,type_c,1,5393,21914,73595,2,1,3,Radio30s200,1,n_a
Goal number a4e2e8cd,T #4,fire_team_a,manoeuvre,false,n3,n2,type_c,3,15351,37307,73595,2,1,3,Radio30s200,1,n_a
Goal number a4e2e8cd,T #5,fire_team_a,manoeuvre,false,n1,n1,type_c,1,5290,42638,73595,2,1,3,Radio30s200,1,n_a
Goal number a4e2e8cd,T #6,fire_team_a,manoeuvre,false,n2,n6,type_a,3,30847,73535,73595,2,1,3,Radio30s200,1,n_a
Goal number 6dfbee27,T #1,fire_team_a,manoeuvre,false,n1,n1,type_b,3,10410,10486,84243,1,2,3,Radio30s200,1,n_a
Goal number 6dfbee27,T #2,fire_team_a,manoeuvre,false,n2,n6,type_a,2,20432,30985,84243,1,2,3,Radio30s200,1,n_a
Goal number 6dfbee27,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10354,41386,84243,1,2,3,Radio30s200,1,n_a
Goal number 6dfbee27,T #4,fire_team_a,manoeuvre,false,n3,n1,type_c,2,10291,51736,84243,1,2,3,Radio30s200,1,n_a
Goal number 6dfbee27,T #5,fire_team_a,manoeuvre,true,n3,n2,type_b,2,6930,58719,84243,1,2,3,Radio30s200,1,n_a
Goal number 6dfbee27,T #6,fire_team_a,manoeuvre,true,n3,n6,type_c,3,25428,84206,84243,1,2,3,Radio30s200,1,n_a
Goal number 65648d2b,T #1,fire_team_a,manoeuvre,false,n1,n2,type_c,3,15393,15435,55830,1,3,2,Radio30s200,1,n_a
Goal number 65648d2b,T #2,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10297,25788,55830,1,3,2,Radio30s200,1,n_a
Goal number 65648d2b,T #3,fire_team_a,manoeuvre,false,n3,n4,type_b,2,6971,32819,55830,1,3,2,Radio30s200,1,n_a
Goal number 65648d2b,T #4,fire_team_a,manoeuvre,false,n2,n1,type_b,1,3625,36502,55830,1,3,2,Radio30s200,1,n_a
Goal number 65648d2b,T #5,fire_team_a,manoeuvre,false,n1,n2,type_b,1,3665,40222,55830,1,3,2,Radio30s200,1,n_a
Goal number 65648d2b,T #6,fire_team_a,manoeuvre,false,n1,n3,type_c,3,15422,55695,55830,1,3,2,Radio30s200,1,n_a
Goal number e2611981,T #1,fire_team_a,manoeuvre,true,n3,n3,type_c,3,30547,30695,122162,2,2,2,Radio30s200,1,n_a
Goal number e2611981,T #2,fire_team_a,manoeuvre,false,n2,n2,type_b,3,10376,41110,122162,2,2,2,Radio30s200,1,n_a
Goal number e2611981,T #3,fire_team_a,manoeuvre,false,n2,n1,type_a,3,30332,71502,122162,2,2,2,Radio30s200,1,n_a
Goal number e2611981,T #4,fire_team_a,manoeuvre,false,n2,n3,type_b,2,6970,78527,122162,2,2,2,Radio30s200,1,n_a
Goal number e2611981,T #5,fire_team_a,manoeuvre,false,n2,n2,type_a,1,28120,106705,122162,2,2,2,Radio30s200,1,n_a
Goal number e2611981,T #6,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15361,122121,122162,2,2,2,Radio30s200,1,n_a
Goal number 005e1088,T #1,fire_team_a,manoeuvre,false,n1,n4,type_c,1,5285,5345,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #2,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15273,20678,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #3,fire_team_a,manoeuvre,false,n3,n2,type_c,3,15244,35979,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #4,fire_team_a,manoeuvre,false,n3,n5,type_c,3,15339,51377,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #5,fire_team_a,manoeuvre,false,n3,n2,type_c,2,10278,61699,92303,1,0,5,Radio30s200,1,n_a
Goal number 005e1088,T #6,fire_team_a,manoeuvre,false,n3,n5,type_a,3,30509,92255,92303,1,0,5,Radio30s200,1,n_a
