goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n1,n1,type_c,1,5309,5384,42301,1,3,2,SwitchMode1,2,n_a
Goal number f34f40df,T #2,fire_team_a,manoeuvre,false,n2,n5,type_c,3,15315,20763,42301,1,3,2,SwitchMode1,2,n_a
Goal number f34f40df,T #3,fire_team_a,manoeuvre,false,n2,n6,type_b,1,3641,24478,42301,1,3,2,SwitchMode1,2,n_a
Goal number f34f40df,T #4,fire_team_a,manoeuvre,false,n2,n6,type_b,1,3620,28144,42301,1,3,2,SwitchMode1,2,n_a
Goal number f34f40df,T #5,fire_team_a,manoeuvre,false,n2,n4,type_a,1,10315,38584,42301,1,3,2,SwitchMode1,2,n_a
Goal number f34f40df,T #6,fire_team_a,manoeuvre,false,n2,n5,type_b,1,3631,42261,42301,1,3,2,SwitchMode1,2,n_a
Goal number 546bafce,T #1,fire_team_a,manoeuvre,false,n2,n3,type_a,1,10407,10493,50487,1,4,1,SwitchMode1,2,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10398,20957,50487,1,4,1,SwitchMode1,2,n_a
Goal number 546bafce,T #3,fire_team_a,manoeuvre,false,n1,n1,type_b,2,7357,28371,50487,1,4,1,SwitchMode1,2,n_a
Goal number 546bafce,T #4,fire_team_a,manoeuvre,false,n1,n4,type_b,1,3818,32239,50487,1,4,1,SwitchMode1,2,n_a
Goal number 546bafce,T #5,fire_team_a,manoeuvre,false,n1,n6,type_b,2,7501,39783,50487,1,4,1,SwitchMode1,2,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n1,n1,type_b,3,10594,50435,50487,1,4,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n3,n2,type_a,1,10377,10485,96846,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,3,15363,25903,96846,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10260,36225,96846,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n3,n3,type_a,2,20276,56582,96846,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #5,fire_team_a,manoeuvre,false,n3,n6,type_a,3,30685,87332,96846,4,1,1,SwitchMode1,2,n_a
Goal number 77cb2c04,T #6,fire_team_a,manoeuvre,false,n1,n4,type_b,2,9432,96805,96846,4,1,1,SwitchMode1,2,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n2,n1,type_a,1,10336,10401,82980,2,0,4,SwitchMode1,2,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n1,n1,type_a,3,30599,41151,82980,2,0,4,SwitchMode1,2,n_a
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,2,10500,51693,82980,2,0,4,SwitchMode1,2,n_a
Goal number 7f99db97,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10312,62057,82980,2,0,4,SwitchMode1,2,n_a
Goal number 7f99db97,T #5,fire_team_a,manoeuvre,false,n2,n4,type_c,2,10433,72554,82980,2,0,4,SwitchMode1,2,n_a
Goal number 7f99db97,T #6,fire_team_a,manoeuvre,false,n1,n1,type_c,2,10336,82932,82980,2,0,4,SwitchMode1,2,n_a
Goal number 18685dd8,T #1,fire_team_a,manoeuvre,false,n2,n6,type_a,1,10267,10316,110533,3,2,1,SwitchMode1,2,n_a
Goal number 18685dd8,T #2,fire_team_a,manoeuvre,false,n3,n2,type_a,3,35110,45477,110533,3,2,1,SwitchMode1,2,n_a
Goal number 18685dd8,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,2,10298,55839,110533,3,2,1,SwitchMode1,2,n_a
Goal number 18685dd8,T #4,fire_team_a,manoeuvre,false,n1,n4,type_b,1,6748,62641,110533,3,2,1,SwitchMode1,2,n_a
Goal number 18685dd8,T #5,fire_team_a,manoeuvre,false,n2,n6,type_b,3,11773,74463,110533,3,2,1,SwitchMode1,2,n_a
Goal number 18685dd8,T #6,fire_team_a,manoeuvre,false,n3,n3,type_a,3,35967,110491,110533,3,2,1,SwitchMode1,2,n_a
Goal number 49fbc2c6,T #1,fire_team_a,manoeuvre,false,n1,n2,type_c,2,10448,10514,73300,2,2,2,SwitchMode1,2,n_a
Goal number 49fbc2c6,T #2,fire_team_a,manoeuvre,false,n3,n6,type_a,2,20320,30890,73300,2,2,2,SwitchMode1,2,n_a
Goal number 49fbc2c6,T #3,fire_team_a,manoeuvre,false,n2,n5,type_b,1,4300,35242,73300,2,2,2,SwitchMode1,2,n_a
Goal number 49fbc2c6,T #4,fire_team_a,manoeuvre,false,n3,n2,type_c,2,10400,45684,73300,2,2,2,SwitchMode1,2,n_a
Goal number 49fbc2c6,T #5,fire_team_a,manoeuvre,false,n3,n2,type_a,2,20401,66160,73300,2,2,2,SwitchMode1,2,n_a
Goal number 49fbc2c6,T #6,fire_team_a,manoeuvre,false,n3,n5,type_b,2,6971,73194,73300,2,2,2,SwitchMode1,2,n_a
Goal number 7f8f32ac,T #1,fire_team_a,manoeuvre,false,n1,n3,type_a,2,20284,20356,72588,3,0,3,SwitchMode1,2,n_a
Goal number 7f8f32ac,T #2,fire_team_a,manoeuvre,false,n1,n5,type_a,1,10606,31024,72588,3,0,3,SwitchMode1,2,n_a
