goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10409,10492,123966,4,1,1,SwitchMode1,1,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,3,15286,25844,123966,4,1,1,SwitchMode1,1,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10189,36124,123966,4,1,1,SwitchMode1,1,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n3,n3,type_a,2,20314,56508,123966,4,1,1,SwitchMode1,1,n_a
Goal number 77cb2c04,T #5,fire_team_b,defence,false,n6,n6,type_a,3,60325,116921,123966,4,1,1,SwitchMode1,1,n_a
Goal number 77cb2c04,T #6,fire_team_b,defence,false,n4,n4,type_b,2,6939,123924,123966,4,1,1,SwitchMode1,1,n_a
Goal number 49fbc2c6,T #1,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10225,10312,72739,2,2,2,SwitchMode1,1,n_a
Goal number 49fbc2c6,T #2,fire_team_b,defence,false,n6,n6,type_a,2,21007,31379,72739,2,2,2,SwitchMode1,1,n_a
Goal number 49fbc2c6,T #3,fire_team_b,defence,false,n5,n5,type_b,1,3614,35059,72739,2,2,2,SwitchMode1,1,n_a
Goal number 49fbc2c6,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10235,45364,72739,2,2,2,SwitchMode1,1,n_a
Goal number 49fbc2c6,T #5,fire_team_a,manoeuvre,false,n2,n2,type_a,2,20318,65756,72739,2,2,2,SwitchMode1,1,n_a
Goal number 49fbc2c6,T #6,fire_team_b,defence,false,n5,n5,type_b,2,6882,72696,72739,2,2,2,SwitchMode1,1,n_a
Goal number 546bafce,T #1,fire_team_a,manoeuvre,false,n3,n3,type_a,1,21054,21147,88845,1,4,1,SwitchMode1,1,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10374,31563,88845,1,4,1,SwitchMode1,1,n_a
Goal number 546bafce,T #3,fire_team_a,manoeuvre,false,n1,n1,type_b,2,6917,38564,88845,1,4,1,SwitchMode1,1,n_a
Goal number 546bafce,T #4,fire_team_b,defence,false,n4,n4,type_b,1,3605,42241,88845,1,4,1,SwitchMode1,1,n_a
Goal number 546bafce,T #5,fire_team_b,defence,false,n6,n6,type_b,2,36169,78466,88845,1,4,1,SwitchMode1,1,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n1,n1,type_b,3,10260,88796,88845,1,4,1,SwitchMode1,1,n_a
Goal number 18685dd8,T #1,fire_team_b,defence,false,n6,n6,type_a,1,10270,10415,135168,3,2,1,SwitchMode1,1,n_a
Goal number 18685dd8,T #2,fire_team_a,manoeuvre,false,n2,n2,type_a,3,30346,40840,135168,3,2,1,SwitchMode1,1,n_a
Goal number 18685dd8,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,13847,54739,135168,3,2,1,SwitchMode1,1,n_a
Goal number 18685dd8,T #4,fire_team_b,defence,false,n4,n4,type_b,1,3589,58374,135168,3,2,1,SwitchMode1,1,n_a
Goal number 18685dd8,T #5,fire_team_b,defence,false,n6,n6,type_b,3,26496,84943,135168,3,2,1,SwitchMode1,1,n_a
Goal number 18685dd8,T #6,fire_team_a,manoeuvre,false,n3,n3,type_a,3,50104,135119,135168,3,2,1,SwitchMode1,1,n_a
Goal number b5bdaedc,T #1,fire_team_a,manoeuvre,false,n2,n2,type_c,1,5200,5291,49932,2,3,1,SwitchMode1,1,n_a
Goal number b5bdaedc,T #2,fire_team_b,defence,false,n4,n4,type_a,1,10248,15609,49932,2,3,1,SwitchMode1,1,n_a
Goal number b5bdaedc,T #3,fire_team_b,defence,false,n5,n5,type_b,2,9103,24776,49932,2,3,1,SwitchMode1,1,n_a
Goal number b5bdaedc,T #4,fire_team_b,defence,false,n4,n4,type_b,2,7651,32495,49932,2,3,1,SwitchMode1,1,n_a
Goal number b5bdaedc,T #5,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10275,42829,49932,2,3,1,SwitchMode1,1,n_a
Goal number b5bdaedc,T #6,fire_team_a,manoeuvre,false,n2,n2,type_b,2,6928,49811,49932,2,3,1,SwitchMode1,1,n_a
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n1,n1,type_c,1,5267,5349,120354,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #2,fire_team_b,defence,false,n5,n5,type_c,3,15204,20693,120354,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #3,fire_team_b,defence,false,n6,n6,type_b,1,6252,27003,120354,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #4,fire_team_b,defence,false,n6,n6,type_b,1,77573,104639,120354,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #5,fire_team_b,defence,false,n4,n4,type_a,1,11046,115765,120354,1,3,2,SwitchMode1,1,n_a
Goal number f34f40df,T #6,fire_team_b,defence,false,n5,n5,type_b,1,4494,120302,120354,1,3,2,SwitchMode1,1,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10296,10455,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n1,n1,type_a,3,30232,40755,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,56981,97810,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f99db97,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10223,108184,139719,2,0,4,SwitchMode1,1,n_a
Goal number 7f99db97,T #5,fire_team_b,defence,false,n4,n4,type_c,2,10245,118482,139719,2,0,4,SwitchMode1,1,n_a
