goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n3,n1,type_c,1,5312,5453,45715,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #2,fire_team_a,manoeuvre,false,n1,n5,type_c,3,18165,23675,45715,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #3,fire_team_a,manoeuvre,false,n1,n6,type_b,1,3702,27422,45715,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #4,fire_team_a,manoeuvre,false,n1,n6,type_b,1,4094,31572,45715,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #5,fire_team_a,manoeuvre,false,n1,n4,type_a,1,10371,41994,45715,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #6,fire_team_a,manoeuvre,false,n1,n5,type_b,1,3638,45683,45715,1,3,2,Radio90s200,1,n_a
Goal number 546bafce,T #1,fire_team_a,manoeuvre,false,n1,n3,type_a,1,10388,10441,49985,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n1,n2,type_c,2,10293,20852,49985,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #3,fire_team_a,manoeuvre,false,n3,n1,type_b,2,7067,27964,49985,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,1,3790,31814,49985,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #5,fire_team_a,manoeuvre,false,n1,n6,type_b,2,7543,39411,49985,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n3,n1,type_b,3,10485,49947,49985,1,4,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10441,10511,96316,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n3,n1,type_c,3,15322,25942,96316,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n3,n1,type_a,1,10889,36889,96316,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n2,n3,type_a,2,20300,57239,96316,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #5,fire_team_a,manoeuvre,false,n2,n6,type_a,3,30295,87580,96316,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #6,fire_team_a,manoeuvre,false,n3,n4,type_b,2,8639,96268,96316,4,1,1,Radio90s200,1,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10370,10437,82628,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n3,n1,type_a,3,30493,40988,82628,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,10282,51319,82628,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #4,fire_team_a,manoeuvre,false,n1,n2,type_c,2,10305,61674,82628,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #5,fire_team_a,manoeuvre,false,n3,n4,type_c,2,10405,72147,82628,2,0,4,Radio90s200,1,n_a
