goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number 77cb2c04,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10382,10453,94557,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n1,n1,type_c,3,15242,25753,94557,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #3,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10322,36147,94557,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #4,fire_team_a,manoeuvre,false,n3,n3,type_a,2,20371,56591,94557,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #5,fire_team_b,defence,false,n6,n6,type_a,3,30271,86916,94557,4,1,1,Radio90s200,1,n_a
Goal number 77cb2c04,T #6,fire_team_b,defence,false,n4,n4,type_b,2,7539,94511,94557,4,1,1,Radio90s200,1,n_a
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n1,n1,type_c,1,5253,5402,52251,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #2,fire_team_b,defence,false,n5,n5,type_c,3,15325,20765,52251,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #3,fire_team_b,defence,false,n6,n6,type_b,1,3635,24466,52251,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #4,fire_team_b,defence,false,n6,n6,type_b,1,13629,38150,52251,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #5,fire_team_b,defence,false,n4,n4,type_a,1,10241,48565,52251,1,3,2,Radio90s200,1,n_a
Goal number f34f40df,T #6,fire_team_b,defence,false,n5,n5,type_b,1,3603,52206,52251,1,3,2,Radio90s200,1,n_a
Goal number 18685dd8,T #1,fire_team_b,defence,false,n6,n6,type_a,1,10313,10373,99861,3,2,1,Radio90s200,1,n_a
Goal number 18685dd8,T #2,fire_team_a,manoeuvre,false,n2,n2,type_a,3,31010,41456,99861,3,2,1,Radio90s200,1,n_a
Goal number 18685dd8,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,10343,51865,99861,3,2,1,Radio90s200,1,n_a
Goal number 18685dd8,T #4,fire_team_b,defence,false,n4,n4,type_b,1,3595,55514,99861,3,2,1,Radio90s200,1,n_a
Goal number 18685dd8,T #5,fire_team_b,defence,false,n6,n6,type_b,3,10354,65934,99861,3,2,1,Radio90s200,1,n_a
Goal number 18685dd8,T #6,fire_team_a,manoeuvre,false,n3,n3,type_a,3,33806,99825,99861,3,2,1,Radio90s200,1,n_a
Goal number 546bafce,T #1,fire_team_a,manoeuvre,false,n3,n3,type_a,1,20042,20209,67910,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10347,30690,67910,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #3,fire_team_a,manoeuvre,false,n1,n1,type_b,2,6911,37678,67910,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #4,fire_team_b,defence,false,n4,n4,type_b,1,3588,41325,67910,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #5,fire_team_b,defence,false,n6,n6,type_b,2,16178,57561,67910,1,4,1,Radio90s200,1,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n1,n1,type_b,3,10254,67877,67910,1,4,1,Radio90s200,1,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10226,10301,92430,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n1,n1,type_a,3,30357,40713,92430,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,19938,60728,92430,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10975,71780,92430,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #5,fire_team_b,defence,false,n4,n4,type_c,2,10235,82078,92430,2,0,4,Radio90s200,1,n_a
Goal number 7f99db97,T #6,fire_team_a,manoeuvre,false,n1,n1,type_c,2,10237,92373,92430,2,0,4,Radio90s200,1,n_a
Goal number 49fbc2c6,T #1,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10264,10331,98402,2,2,2,Radio90s200,1,n_a
Goal number 49fbc2c6,T #2,fire_team_b,defence,false,n6,n6,type_a,2,40004,50381,98402,2,2,2,Radio90s200,1,n_a
Goal number 49fbc2c6,T #3,fire_team_b,defence,false,n5,n5,type_b,1,3551,54074,98402,2,2,2,Radio90s200,1,n_a
Goal number 49fbc2c6,T #4,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10250,64396,98402,2,2,2,Radio90s200,1,n_a
Goal number 49fbc2c6,T #5,fire_team_a,manoeuvre,false,n2,n2,type_a,2,20318,84771,98402,2,2,2,Radio90s200,1,n_a
Goal number 49fbc2c6,T #6,fire_team_b,defence,false,n5,n5,type_b,2,13537,98375,98402,2,2,2,Radio90s200,1,n_a
Goal number b5bdaedc,T #1,fire_team_a,manoeuvre,false,n2,n2,type_c,1,14978,15147,68762,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #2,fire_team_b,defence,false,n4,n4,type_a,1,10282,25493,68762,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #3,fire_team_b,defence,false,n5,n5,type_b,2,11719,37282,68762,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #4,fire_team_b,defence,false,n4,n4,type_b,2,7017,44352,68762,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #5,fire_team_a,manoeuvre,false,n2,n2,type_a,1,17346,61741,68762,2,3,1,Radio90s200,1,n_a
Goal number b5bdaedc,T #6,fire_team_a,manoeuvre,false,n2,n2,type_b,2,6901,68720,68762,2,3,1,Radio90s200,1,n_a
Goal number 7f8f32ac,T #1,fire_team_a,manoeuvre,false,n3,n3,type_a,2,39043,39115,97663,3,0,3,Radio90s200,1,n_a
