goal,task,fire_team,state,radio_silence,node,ignored_node,process_type,resource_qty,duration,time_since_start,goal_duration,type_a_count,type_b_count,type_c_count,info_experiment_code,info_run_number,flow_control_update_time
Goal number f34f40df,T #1,fire_team_a,manoeuvre,false,n2,n1,type_c,1,5361,5423,43433,1,3,2,Active_v2,1,n_a
Goal number f34f40df,T #2,fire_team_b,manoeuvre,false,n4,n5,type_c,3,15337,20839,43433,1,3,2,Active_v2,1,n_a
Goal number f34f40df,T #3,fire_team_b,manoeuvre,false,n4,n6,type_b,1,3934,24831,43433,1,3,2,Active_v2,1,n_a
Goal number f34f40df,T #4,fire_team_a,manoeuvre,false,n2,n6,type_b,1,3819,28715,43433,1,3,2,Active_v2,1,n_a
Goal number f34f40df,T #5,fire_team_b,manoeuvre,false,n4,n4,type_a,1,10780,39544,43433,1,3,2,Active_v2,1,n_a
Goal number f34f40df,T #6,fire_team_b,manoeuvre,false,n4,n5,type_b,1,3771,43381,43433,1,3,2,Active_v2,1,n_a
Goal number 77cb2c04,T #1,fire_team_b,manoeuvre,false,n5,n2,type_a,1,10559,10644,94558,4,1,1,Active_v2,1,n_a
Goal number 77cb2c04,T #2,fire_team_a,manoeuvre,false,n2,n1,type_c,3,15369,26069,94558,4,1,1,Active_v2,1,n_a
Goal number 77cb2c04,T #3,fire_team_b,manoeuvre,false,n4,n1,type_a,1,10363,36489,94558,4,1,1,Active_v2,1,n_a
Goal number 77cb2c04,T #4,fire_team_b,manoeuvre,false,n5,n3,type_a,2,20331,56892,94558,4,1,1,Active_v2,1,n_a
Goal number 77cb2c04,T #5,fire_team_b,manoeuvre,false,n6,n6,type_a,3,30395,87347,94558,4,1,1,Active_v2,1,n_a
Goal number 77cb2c04,T #6,fire_team_b,manoeuvre,false,n6,n4,type_b,2,7026,94512,94558,4,1,1,Active_v2,1,n_a
Goal number 546bafce,T #1,fire_team_b,manoeuvre,false,n6,n3,type_a,1,10313,10396,50199,1,4,1,Active_v2,1,n_a
Goal number 546bafce,T #2,fire_team_a,manoeuvre,false,n2,n2,type_c,2,10568,21025,50199,1,4,1,Active_v2,1,n_a
Goal number 546bafce,T #3,fire_team_b,manoeuvre,false,n5,n1,type_b,2,7163,28239,50199,1,4,1,Active_v2,1,n_a
Goal number 546bafce,T #4,fire_team_a,manoeuvre,false,n1,n4,type_b,1,4211,32503,50199,1,4,1,Active_v2,1,n_a
Goal number 546bafce,T #5,fire_team_a,manoeuvre,false,n2,n6,type_b,2,7154,39715,50199,1,4,1,Active_v2,1,n_a
Goal number 546bafce,T #6,fire_team_a,manoeuvre,false,n1,n1,type_b,3,10381,50144,50199,1,4,1,Active_v2,1,n_a
Goal number 7f99db97,T #1,fire_team_a,manoeuvre,false,n1,n1,type_a,1,10300,10400,82706,2,0,4,Active_v2,1,n_a
Goal number 7f99db97,T #2,fire_team_a,manoeuvre,false,n3,n1,type_a,3,30339,40808,82706,2,0,4,Active_v2,1,n_a
Goal number 7f99db97,T #3,fire_team_b,manoeuvre,false,n5,n3,type_c,2,10406,51272,82706,2,0,4,Active_v2,1,n_a
Goal number 7f99db97,T #4,fire_team_a,manoeuvre,false,n3,n2,type_c,2,10327,61647,82706,2,0,4,Active_v2,1,n_a
Goal number 7f99db97,T #5,fire_team_b,manoeuvre,false,n5,n4,type_c,2,10426,72162,82706,2,0,4,Active_v2,1,n_a
Goal number 7f99db97,T #6,fire_team_b,manoeuvre,false,n4,n1,type_c,2,10424,82648,82706,2,0,4,Active_v2,1,n_a
Goal number 49fbc2c6,T #1,fire_team_a,manoeuvre,false,n1,n2,type_c,2,10317,10419,72805,2,2,2,Active_v2,1,n_a
Goal number 49fbc2c6,T #2,fire_team_a,manoeuvre,false,n1,n6,type_a,2,20397,30868,72805,2,2,2,Active_v2,1,n_a
Goal number 49fbc2c6,T #3,fire_team_a,manoeuvre,false,n2,n5,type_b,1,3929,34844,72805,2,2,2,Active_v2,1,n_a
Goal number 49fbc2c6,T #4,fire_team_b,manoeuvre,false,n4,n2,type_c,2,10320,45237,72805,2,2,2,Active_v2,1,n_a
Goal number 49fbc2c6,T #5,fire_team_b,manoeuvre,false,n6,n2,type_a,2,20422,65728,72805,2,2,2,Active_v2,1,n_a
Goal number 49fbc2c6,T #6,fire_team_b,manoeuvre,false,n4,n5,type_b,2,6984,72769,72805,2,2,2,Active_v2,1,n_a
Goal number 18685dd8,T #1,fire_team_b,manoeuvre,false,n6,n6,type_a,1,10414,10468,131553,3,2,1,Active_v2,1,n_a
Goal number 18685dd8,T #2,fire_team_a,manoeuvre,false,n3,n2,type_a,3,55532,66057,131553,3,2,1,Active_v2,1,n_a
Goal number 18685dd8,T #3,fire_team_a,manoeuvre,false,n3,n3,type_c,2,20803,86916,131553,3,2,1,Active_v2,1,n_a
Goal number 18685dd8,T #4,fire_team_a,manoeuvre,false,n2,n4,type_b,1,3667,90718,131553,3,2,1,Active_v2,1,n_a
Goal number 18685dd8,T #5,fire_team_a,manoeuvre,false,n3,n6,type_b,3,10401,101191,131553,3,2,1,Active_v2,1,n_a
Goal number 18685dd8,T #6,fire_team_a,manoeuvre,false,n2,n3,type_a,3,30290,131530,131553,3,2,1,Active_v2,1,n_a
Goal number b5bdaedc,T #1,fire_team_a,manoeuvre,false,n1,n2,type_c,1,5415,5494,47712,2,3,1,Active_v2,1,n_a
Goal number b5bdaedc,T #2,fire_team_a,manoeuvre,false,n3,n4,type_a,1,10549,16087,47712,2,3,1,Active_v2,1,n_a
Goal number b5bdaedc,T #3,fire_team_b,manoeuvre,false,n5,n5,type_b,2,6973,23120,47712,2,3,1,Active_v2,1,n_a
Goal number b5bdaedc,T #4,fire_team_a,manoeuvre,false,n2,n4,type_b,2,7079,30256,47712,2,3,1,Active_v2,1,n_a
Goal number b5bdaedc,T #5,fire_team_b,manoeuvre,false,n4,n2,type_a,1,10309,40625,47712,2,3,1,Active_v2,1,n_a
Goal number b5bdaedc,T #6,fire_team_a,manoeuvre,false,n1,n2,type_b,2,7001,47677,47712,2,3,1,Active_v2,1,n_a
Goal number 7f8f32ac,T #1,fire_team_a,manoeuvre,false,n1,n3,type_a,2,20352,20438,73333,3,0,3,Active_v2,1,n_a
Goal number 7f8f32ac,T #2,fire_team_b,manoeuvre,false,n5,n5,type_a,1,10318,30832,73333,3,0,3,Active_v2,1,n_a
Goal number 7f8f32ac,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,2,10973,41859,73333,3,0,3,Active_v2,1,n_a
Goal number 7f8f32ac,T #4,fire_team_b,manoeuvre,false,n6,n5,type_c,1,5355,47295,73333,3,0,3,Active_v2,1,n_a
Goal number 7f8f32ac,T #5,fire_team_a,manoeuvre,false,n3,n1,type_a,2,20335,67779,73333,3,0,3,Active_v2,1,n_a
Goal number 7f8f32ac,T #6,fire_team_a,manoeuvre,false,n1,n3,type_c,1,5454,73286,73333,3,0,3,Active_v2,1,n_a
Goal number a0a03a8d,T #1,fire_team_a,manoeuvre,false,n3,n4,type_a,1,10280,10347,64517,2,2,2,Active_v2,1,n_a
Goal number a0a03a8d,T #2,fire_team_b,manoeuvre,false,n6,n3,type_b,2,6953,17450,64517,2,2,2,Active_v2,1,n_a
Goal number a0a03a8d,T #3,fire_team_b,manoeuvre,false,n5,n6,type_c,3,15554,33044,64517,2,2,2,Active_v2,1,n_a
Goal number a0a03a8d,T #4,fire_team_a,manoeuvre,false,n3,n4,type_b,3,10330,43431,64517,2,2,2,Active_v2,1,n_a
Goal number a0a03a8d,T #5,fire_team_a,manoeuvre,false,n1,n6,type_a,1,10422,53909,64517,2,2,2,Active_v2,1,n_a
Goal number a0a03a8d,T #6,fire_team_b,manoeuvre,false,n6,n1,type_c,2,10508,64480,64517,2,2,2,Active_v2,1,n_a
Goal number e8ce562c,T #1,fire_team_b,manoeuvre,false,n5,n6,type_b,2,7004,7075,71078,1,3,2,Active_v2,1,n_a
Goal number e8ce562c,T #2,fire_team_b,manoeuvre,false,n4,n4,type_b,3,10395,17515,71078,1,3,2,Active_v2,1,n_a
Goal number e8ce562c,T #3,fire_team_b,manoeuvre,false,n4,n3,type_c,2,10323,27900,71078,1,3,2,Active_v2,1,n_a
Goal number e8ce562c,T #4,fire_team_a,manoeuvre,false,n2,n4,type_a,3,30423,58371,71078,1,3,2,Active_v2,1,n_a
Goal number e8ce562c,T #5,fire_team_a,manoeuvre,false,n3,n3,type_c,1,5287,63722,71078,1,3,2,Active_v2,1,n_a
Goal number e8ce562c,T #6,fire_team_a,manoeuvre,false,n2,n5,type_b,2,7242,71028,71078,1,3,2,Active_v2,1,n_a
Goal number a4e2e8cd,T #1,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10415,10487,70973,2,1,3,Active_v2,1,n_a
Goal number a4e2e8cd,T #2,fire_team_b,manoeuvre,false,n5,n6,type_b,1,3687,14224,70973,2,1,3,Active_v2,1,n_a
Goal number a4e2e8cd,T #3,fire_team_a,manoeuvre,false,n3,n2,type_c,1,5307,19583,70973,2,1,3,Active_v2,1,n_a
Goal number a4e2e8cd,T #4,fire_team_a,manoeuvre,false,n1,n2,type_c,3,15360,35098,70973,2,1,3,Active_v2,1,n_a
Goal number a4e2e8cd,T #5,fire_team_b,manoeuvre,false,n6,n1,type_c,1,5400,40559,70973,2,1,3,Active_v2,1,n_a
Goal number a4e2e8cd,T #6,fire_team_b,manoeuvre,false,n4,n6,type_a,3,30308,70922,70973,2,1,3,Active_v2,1,n_a
Goal number 6dfbee27,T #1,fire_team_b,manoeuvre,false,n6,n1,type_b,3,10331,10500,100408,1,2,3,Active_v2,1,n_a
Goal number 6dfbee27,T #2,fire_team_a,manoeuvre,false,n2,n6,type_a,2,46245,56788,100408,1,2,3,Active_v2,1,n_a
Goal number 6dfbee27,T #3,fire_team_a,manoeuvre,false,n1,n2,type_c,2,10495,67346,100408,1,2,3,Active_v2,1,n_a
Goal number 6dfbee27,T #4,fire_team_b,manoeuvre,false,n6,n1,type_c,2,10441,77842,100408,1,2,3,Active_v2,1,n_a
Goal number 6dfbee27,T #5,fire_team_a,manoeuvre,false,n1,n2,type_b,2,6998,84896,100408,1,2,3,Active_v2,1,n_a
Goal number 6dfbee27,T #6,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15409,100354,100408,1,2,3,Active_v2,1,n_a
Goal number 65648d2b,T #1,fire_team_b,manoeuvre,false,n4,n2,type_c,3,15397,15461,61069,1,3,2,Active_v2,1,n_a
Goal number 65648d2b,T #2,fire_team_a,manoeuvre,false,n3,n1,type_a,1,10351,25889,61069,1,3,2,Active_v2,1,n_a
Goal number 65648d2b,T #3,fire_team_b,manoeuvre,false,n4,n4,type_b,2,6981,32923,61069,1,3,2,Active_v2,1,n_a
Goal number 65648d2b,T #4,fire_team_a,manoeuvre,false,n2,n1,type_b,1,3947,36921,61069,1,3,2,Active_v2,1,n_a
Goal number 65648d2b,T #5,fire_team_a,manoeuvre,false,n1,n2,type_b,1,3805,40798,61069,1,3,2,Active_v2,1,n_a
Goal number 65648d2b,T #6,fire_team_a,manoeuvre,false,n3,n3,type_c,3,20164,61029,61069,1,3,2,Active_v2,1,n_a
Goal number e2611981,T #1,fire_team_b,manoeuvre,false,n5,n3,type_c,3,15451,15520,89588,2,2,2,Active_v2,1,n_a
Goal number e2611981,T #2,fire_team_a,manoeuvre,false,n3,n2,type_b,3,10312,25901,89588,2,2,2,Active_v2,1,n_a
Goal number e2611981,T #3,fire_team_b,manoeuvre,false,n5,n1,type_a,3,30402,56470,89588,2,2,2,Active_v2,1,n_a
Goal number e2611981,T #4,fire_team_a,manoeuvre,false,n3,n3,type_b,2,7189,63710,89588,2,2,2,Active_v2,1,n_a
Goal number e2611981,T #5,fire_team_b,manoeuvre,false,n6,n2,type_a,1,10384,74163,89588,2,2,2,Active_v2,1,n_a
Goal number e2611981,T #6,fire_team_b,manoeuvre,false,n5,n6,type_c,3,15336,89550,89588,2,2,2,Active_v2,1,n_a
Goal number 29ed323e,T #1,fire_team_b,manoeuvre,false,n6,n6,type_a,2,20329,20498,82676,2,0,4,Active_v2,1,n_a
Goal number 29ed323e,T #2,fire_team_b,manoeuvre,false,n4,n5,type_c,2,10324,30866,82676,2,0,4,Active_v2,1,n_a
Goal number 29ed323e,T #3,fire_team_b,manoeuvre,false,n4,n2,type_c,2,10422,41335,82676,2,0,4,Active_v2,1,n_a
Goal number 29ed323e,T #4,fire_team_a,manoeuvre,false,n3,n1,type_c,1,5412,46832,82676,2,0,4,Active_v2,1,n_a
Goal number 29ed323e,T #5,fire_team_a,manoeuvre,false,n1,n2,type_c,3,15383,62268,82676,2,0,4,Active_v2,1,n_a
Goal number 29ed323e,T #6,fire_team_a,manoeuvre,false,n1,n1,type_a,2,20310,82613,82676,2,0,4,Active_v2,1,n_a
Goal number 005e1088,T #1,fire_team_a,manoeuvre,false,n1,n4,type_c,1,5340,5418,92813,1,0,5,Active_v2,1,n_a
Goal number 005e1088,T #2,fire_team_a,manoeuvre,false,n2,n6,type_c,3,15349,20839,92813,1,0,5,Active_v2,1,n_a
Goal number 005e1088,T #3,fire_team_a,manoeuvre,false,n2,n2,type_c,3,15385,36290,92813,1,0,5,Active_v2,1,n_a
Goal number 005e1088,T #4,fire_team_a,manoeuvre,false,n3,n5,type_c,3,15664,52002,92813,1,0,5,Active_v2,1,n_a
Goal number 005e1088,T #5,fire_team_b,manoeuvre,false,n6,n2,type_c,2,10357,62415,92813,1,0,5,Active_v2,1,n_a
Goal number 005e1088,T #6,fire_team_b,manoeuvre,false,n5,n5,type_a,3,30318,92768,92813,1,0,5,Active_v2,1,n_a
Goal number d62b9e78,T #1,fire_team_b,manoeuvre,false,n6,n5,type_a,3,30320,30382,94499,2,1,3,Active_v2,1,n_a
Goal number d62b9e78,T #2,fire_team_a,manoeuvre,false,n2,n2,type_a,1,10420,40858,94499,2,1,3,Active_v2,1,n_a
Goal number d62b9e78,T #3,fire_team_a,manoeuvre,false,n1,n3,type_c,3,15512,56418,94499,2,1,3,Active_v2,1,n_a
Goal number d62b9e78,T #4,fire_team_a,manoeuvre,false,n3,n6,type_c,3,15471,71952,94499,2,1,3,Active_v2,1,n_a
Goal number d62b9e78,T #5,fire_team_a,manoeuvre,false,n2,n6,type_b,2,6984,78976,94499,2,1,3,Active_v2,1,n_a
Goal number d62b9e78,T #6,fire_team_a,manoeuvre,false,n3,n4,type_c,3,15428,94460,94499,2,1,3,Active_v2,1,n_a
Goal number 20323ac1,T #1,fire_team_a,manoeuvre,false,n2,n4,type_a,2,20446,20523,88155,3,0,3,Active_v2,1,n_a
Goal number 20323ac1,T #2,fire_team_b,manoeuvre,false,n5,n2,type_c,1,5386,25966,88155,3,0,3,Active_v2,1,n_a
Goal number 20323ac1,T #3,fire_team_a,manoeuvre,false,n3,n6,type_a,1,10441,36460,88155,3,0,3,Active_v2,1,n_a
Goal number 20323ac1,T #4,fire_team_b,manoeuvre,false,n6,n4,type_a,3,30306,66822,88155,3,0,3,Active_v2,1,n_a
Goal number 20323ac1,T #5,fire_team_a,manoeuvre,false,n2,n3,type_c,3,15675,82561,88155,3,0,3,Active_v2,1,n_a
Goal number 20323ac1,T #6,fire_team_a,manoeuvre,false,n1,n2,type_c,1,5480,88099,88155,3,0,3,Active_v2,1,n_a
Goal number 3d41497e,T #1,fire_team_b,manoeuvre,false,n5,n3,type_a,1,10325,10393,128867,3,1,2,Active_v2,1,n_a
Goal number 3d41497e,T #2,fire_team_a,manoeuvre,false,n1,n6,type_a,3,49006,59451,128867,3,1,2,Active_v2,1,n_a
Goal number 3d41497e,T #3,fire_team_a,manoeuvre,false,n2,n4,type_b,2,7023,66544,128867,3,1,2,Active_v2,1,n_a
Goal number 3d41497e,T #4,fire_team_a,manoeuvre,false,n1,n6,type_c,3,20898,87526,128867,3,1,2,Active_v2,1,n_a
Goal number 3d41497e,T #5,fire_team_b,manoeuvre,false,n5,n4,type_a,3,30480,118050,128867,3,1,2,Active_v2,1,n_a
Goal number 3d41497e,T #6,fire_team_a,manoeuvre,false,n1,n4,type_c,2,10609,128719,128867,3,1,2,Active_v2,1,n_a
Goal number 4c293caa,T #1,fire_team_b,manoeuvre,false,n4,n5,type_c,3,15425,15502,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #2,fire_team_b,manoeuvre,false,n4,n3,type_a,2,20360,35899,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #3,fire_team_b,manoeuvre,false,n4,n2,type_c,2,10405,46379,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #4,fire_team_a,manoeuvre,false,n3,n1,type_c,2,23491,69926,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #5,fire_team_a,manoeuvre,false,n3,n2,type_a,1,10605,80580,113349,3,0,3,Active_v2,1,n_a
Goal number 4c293caa,T #6,fire_team_a,manoeuvre,false,n1,n6,type_a,3,32659,113295,113349,3,0,3,Active_v2,1,n_a
Goal number 3bee68cb,T #1,fire_team_b,manoeuvre,false,n6,n1,type_b,2,7153,7217,46849,2,4,0,Active_v2,1,n_a
Goal number 3bee68cb,T #2,fire_team_b,manoeuvre,false,n6,n3,type_b,1,3696,10974,46849,2,4,0,Active_v2,1,n_a
Goal number 3bee68cb,T #3,fire_team_a,manoeuvre,false,n3,n3,type_b,2,6995,18129,46849,2,4,0,Active_v2,1,n_a
